TOTAL	SHORTONLY	TYPE	VAL	tolerable
300	FALSE	theta	12.590509388058893	FALSE
350	TRUE	theta	10.843401227272672	TRUE
350	FALSE	theta	13.724838304606651	FALSE
400	TRUE	theta	11.6273242772036	TRUE
400	FALSE	theta	14.838694159804142	FALSE
450	TRUE	theta	12.971073685346155	TRUE
450	FALSE	theta	16.835543855026316	FALSE
500	TRUE	theta	14.469517646779993	TRUE
500	FALSE	theta	18.607947409154015	FALSE
550	TRUE	theta	15.38874710281561	TRUE
550	FALSE	theta	20.000845945422935	FALSE
600	TRUE	theta	16.115624084910145	TRUE
600	FALSE	theta	21.032575950155028	TRUE
650	TRUE	theta	17.72639253420814	TRUE
650	FALSE	theta	23.234260757530414	FALSE
700	TRUE	theta	19.132719426451175	TRUE
700	FALSE	theta	25.065317382723492	FALSE
750	TRUE	theta	19.827848074338686	TRUE
750	FALSE	theta	26.053071848208983	FALSE
800	TRUE	theta	20.518027269005717	FALSE
800	FALSE	theta	26.87070723816012	FALSE
850	TRUE	theta	20.861345675642664	FALSE
850	FALSE	theta	28.169162890239658	FALSE
900	TRUE	theta	22.392602659527842	FALSE
900	FALSE	theta	29.77649856533533	FALSE
950	TRUE	theta	22.73000630239446	FALSE
950	FALSE	theta	30.891969944498918	FALSE
1000	TRUE	theta	23.234260757530414	FALSE
1000	FALSE	theta	31.8421488902579	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	5.7707801635558535	TRUE
100	FALSE	theta	7.117339969270795	FALSE
150	TRUE	theta	7.117339969270795	TRUE
150	FALSE	theta	9.027406962818835	FALSE
200	TRUE	theta	8.402845598011567	TRUE
200	FALSE	theta	10.6453783959665	FALSE
250	TRUE	theta	9.844324492195494	TRUE
250	FALSE	theta	12.39925280675178	FALSE
300	TRUE	theta	10.246702056127724	TRUE
300	FALSE	theta	13.349144383840082	FALSE
350	TRUE	theta	11.6273242772036	TRUE
350	FALSE	theta	14.838694159804142	FALSE
400	TRUE	theta	12.014705801954314	TRUE
400	FALSE	theta	15.38874710281561	FALSE
450	TRUE	theta	12.781110931766573	TRUE
450	FALSE	theta	17.014494834721177	FALSE
500	TRUE	theta	14.469517646779993	TRUE
500	FALSE	theta	18.783207489664797	FALSE
550	TRUE	theta	15.205877713484329	TRUE
550	FALSE	theta	20.000845945422935	FALSE
600	TRUE	theta	15.753088038008007	TRUE
600	FALSE	theta	21.032575950155028	FALSE
650	TRUE	theta	16.656188606234352	FALSE
650	FALSE	theta	22.392602659527842	FALSE
700	TRUE	theta	17.548990904846423	FALSE
700	FALSE	theta	23.736362571018095	FALSE
750	TRUE	theta	18.95812980169449	FALSE
750	FALSE	theta	25.395392498072216	FALSE
800	TRUE	theta	19.48092027164454	FALSE
800	FALSE	theta	26.216989090907525	FALSE
850	TRUE	theta	20.173538960486816	TRUE
850	FALSE	theta	27.03365856177941	FALSE
900	TRUE	theta	21.032575950155028	TRUE
900	FALSE	theta	28.169162890239658	FALSE
950	TRUE	theta	21.884585598888698	FALSE
950	FALSE	theta	29.77649856533533	FALSE
1000	TRUE	theta	22.561429857571962	FALSE
1000	FALSE	theta	30.733082460175606	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	6.0002541057009395	TRUE
100	FALSE	theta	7.335366744787423	FALSE
150	TRUE	theta	7.551791530658996	TRUE
150	FALSE	theta	9.437989027588253	FALSE
200	TRUE	theta	9.027406962818835	TRUE
200	FALSE	theta	10.843401227272672	FALSE
250	TRUE	theta	9.233248261689365	TRUE
250	FALSE	theta	11.236948229600266	FALSE
300	TRUE	theta	10.04599127792245	TRUE
300	FALSE	theta	12.590509388058893	FALSE
350	TRUE	theta	10.446487954214756	TRUE
350	FALSE	theta	13.349144383840082	FALSE
400	TRUE	theta	11.040582830640032	TRUE
400	FALSE	theta	14.284155657240678	FALSE
450	TRUE	theta	12.39925280675178	TRUE
450	FALSE	theta	16.296236272064004	FALSE
500	TRUE	theta	13.160413202420477	TRUE
500	FALSE	theta	17.193048524484684	FALSE
550	TRUE	theta	14.654360200558338	TRUE
550	FALSE	theta	19.48092027164454	FALSE
600	TRUE	theta	16.115624084910145	TRUE
600	FALSE	theta	21.374197408356636	FALSE
650	TRUE	theta	16.47642188866708	TRUE
650	FALSE	theta	21.884585598888698	FALSE
700	TRUE	theta	17.014494834721177	TRUE
700	FALSE	theta	22.73000630239446	FALSE
750	TRUE	theta	18.256392913493496	TRUE
750	FALSE	theta	24.402608415220122	FALSE
800	TRUE	theta	19.654541002016533	FALSE
800	FALSE	theta	26.053071848208983	FALSE
850	TRUE	theta	20.34593135710914	FALSE
850	FALSE	theta	27.03365856177941	FALSE
900	TRUE	theta	21.374197408356636	FALSE
900	FALSE	theta	28.974931515492816	FALSE
950	TRUE	theta	21.884585598888698	FALSE
950	FALSE	theta	30.095989243418003	FALSE
1000	TRUE	theta	22.89833498947784	FALSE
1000	FALSE	theta	31.209290683780115	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	6.0002541057009395	TRUE
100	FALSE	theta	7.551791530658996	FALSE
150	TRUE	theta	7.980119587183506	TRUE
150	FALSE	theta	9.641668729745335	FALSE
200	TRUE	theta	8.612251926827732	TRUE
200	FALSE	theta	10.6453783959665	FALSE
250	TRUE	theta	9.844324492195494	TRUE
250	FALSE	theta	12.014705801954314	FALSE
300	TRUE	theta	10.446487954214756	TRUE
300	FALSE	theta	13.349144383840082	FALSE
350	TRUE	theta	11.432521184018636	TRUE
350	FALSE	theta	14.284155657240678	FALSE
400	TRUE	theta	12.207324202096762	TRUE
400	FALSE	theta	15.571147523556206	FALSE
450	TRUE	theta	13.349144383840082	TRUE
450	FALSE	theta	17.014494834721177	FALSE
500	TRUE	theta	14.284155657240678	TRUE
500	FALSE	theta	18.080087614593236	FALSE
550	TRUE	theta	15.571147523556206	TRUE
550	FALSE	theta	20.000845945422935	FALSE
600	TRUE	theta	15.753088038008007	FALSE
600	FALSE	theta	20.518027269005717	FALSE
650	TRUE	theta	17.193048524484684	FALSE
650	FALSE	theta	22.392602659527842	FALSE
700	TRUE	theta	18.783207489664797	FALSE
700	FALSE	theta	24.236384607606368	FALSE
750	TRUE	theta	19.132719426451175	FALSE
750	FALSE	theta	25.395392498072216	FALSE
800	TRUE	theta	20.000845945422935	FALSE
800	FALSE	theta	26.544234482018844	FALSE
850	TRUE	theta	20.689830729634938	FALSE
850	FALSE	theta	27.683605537787216	FALSE
900	TRUE	theta	21.203525305927318	FALSE
900	FALSE	theta	28.49198650234478	FALSE
950	TRUE	theta	22.392602659527842	FALSE
950	FALSE	theta	30.095989243418003	FALSE
1000	TRUE	theta	22.73000630239446	FALSE
1000	FALSE	theta	30.733082460175606	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.3429448190325175	TRUE
50	FALSE	theta	5.06832618826664	FALSE
100	TRUE	theta	6.0002541057009395	TRUE
100	FALSE	theta	7.335366744787423	FALSE
150	TRUE	theta	7.117339969270795	TRUE
150	FALSE	theta	9.027406962818835	FALSE
200	TRUE	theta	8.612251926827732	TRUE
200	FALSE	theta	10.843401227272672	FALSE
250	TRUE	theta	9.437989027588253	TRUE
250	FALSE	theta	12.014705801954314	FALSE
300	TRUE	theta	10.6453783959665	TRUE
300	FALSE	theta	13.160413202420477	FALSE
350	TRUE	theta	11.236948229600266	TRUE
350	FALSE	theta	14.09826297615293	FALSE
400	TRUE	theta	12.014705801954314	TRUE
400	FALSE	theta	15.205877713484329	FALSE
450	TRUE	theta	12.39925280675178	TRUE
450	FALSE	theta	16.115624084910145	FALSE
500	TRUE	theta	13.160413202420477	TRUE
500	FALSE	theta	17.371211692478756	FALSE
550	TRUE	theta	14.838694159804142	FALSE
550	FALSE	theta	19.306981310670018	FALSE
600	TRUE	theta	15.022529972530227	TRUE
600	FALSE	theta	20.689830729634938	FALSE
650	TRUE	theta	15.934577403116974	FALSE
650	FALSE	theta	22.054183693150854	FALSE
700	TRUE	theta	16.296236272064004	FALSE
700	FALSE	theta	22.561429857571962	FALSE
750	TRUE	theta	16.835543855026316	FALSE
750	FALSE	theta	23.40186352027363	FALSE
800	TRUE	theta	17.193048524484684	FALSE
800	FALSE	theta	24.236384607606368	FALSE
850	TRUE	theta	18.783207489664797	FALSE
850	FALSE	theta	26.053071848208983	FALSE
900	TRUE	theta	20.861345675642664	FALSE
900	FALSE	theta	28.65313868897019	FALSE
950	TRUE	theta	21.203525305927318	FALSE
950	FALSE	theta	29.296052253408494	FALSE
1000	TRUE	theta	21.884585598888698	FALSE
1000	FALSE	theta	30.41484705523397	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.3429448190325175	TRUE
50	FALSE	theta	5.06832618826664	FALSE
100	TRUE	theta	5.7707801635558535	TRUE
100	FALSE	theta	7.335366744787423	FALSE
150	TRUE	theta	7.335366744787423	TRUE
150	FALSE	theta	9.233248261689365	FALSE
200	TRUE	theta	7.980119587183506	TRUE
200	FALSE	theta	9.844324492195494	FALSE
250	TRUE	theta	9.437989027588253	TRUE
250	FALSE	theta	11.6273242772036	FALSE
300	TRUE	theta	10.446487954214756	TRUE
300	FALSE	theta	12.971073685346155	FALSE
350	TRUE	theta	11.432521184018636	TRUE
350	FALSE	theta	14.09826297615293	FALSE
400	TRUE	theta	12.014705801954314	TRUE
400	FALSE	theta	15.38874710281561	FALSE
450	TRUE	theta	13.160413202420477	TRUE
450	FALSE	theta	16.835543855026316	FALSE
500	TRUE	theta	13.53728151570583	TRUE
500	FALSE	theta	17.548990904846423	FALSE
550	TRUE	theta	15.38874710281561	TRUE
550	FALSE	theta	19.654541002016533	FALSE
600	TRUE	theta	15.571147523556206	TRUE
600	FALSE	theta	20.000845945422935	FALSE
650	TRUE	theta	16.296236272064004	FALSE
650	FALSE	theta	21.032575950155028	FALSE
700	TRUE	theta	17.193048524484684	FALSE
700	FALSE	theta	22.89833498947784	FALSE
750	TRUE	theta	18.256392913493496	FALSE
750	FALSE	theta	24.402608415220122	FALSE
800	TRUE	theta	19.827848074338686	FALSE
800	FALSE	theta	26.380709319112476	FALSE
850	TRUE	theta	20.861345675642664	FALSE
850	FALSE	theta	28.007488312548105	FALSE
900	TRUE	theta	22.392602659527842	FALSE
900	FALSE	theta	29.77649856533533	FALSE
950	TRUE	theta	22.89833498947784	FALSE
950	FALSE	theta	30.891969944498918	FALSE
1000	TRUE	theta	23.40186352027363	FALSE
1000	FALSE	theta	31.8421488902579	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	6.0002541057009395	TRUE
100	FALSE	theta	7.551791530658996	FALSE
150	TRUE	theta	7.551791530658996	TRUE
150	FALSE	theta	9.437989027588253	FALSE
200	TRUE	theta	8.820423113856181	TRUE
200	FALSE	theta	10.843401227272672	FALSE
250	TRUE	theta	9.233248261689365	TRUE
250	FALSE	theta	12.014705801954314	FALSE
300	TRUE	theta	10.04599127792245	TRUE
300	FALSE	theta	12.781110931766573	FALSE
350	TRUE	theta	10.843401227272672	FALSE
350	FALSE	theta	13.911827910314273	FALSE
400	TRUE	theta	11.432521184018636	TRUE
400	FALSE	theta	14.838694159804142	FALSE
450	TRUE	theta	12.590509388058893	TRUE
450	FALSE	theta	16.656188606234352	FALSE
500	TRUE	theta	13.911827910314273	TRUE
500	FALSE	theta	18.607947409154015	FALSE
550	TRUE	theta	15.022529972530227	TRUE
550	FALSE	theta	20.000845945422935	FALSE
600	TRUE	theta	15.571147523556206	TRUE
600	FALSE	theta	21.032575950155028	FALSE
650	TRUE	theta	16.296236272064004	TRUE
650	FALSE	theta	22.054183693150854	FALSE
700	TRUE	theta	17.371211692478756	TRUE
700	FALSE	theta	23.40186352027363	FALSE
750	TRUE	theta	18.256392913493496	TRUE
750	FALSE	theta	24.56861122712622	FALSE
800	TRUE	theta	19.827848074338686	FALSE
800	FALSE	theta	26.544234482018844	FALSE
850	TRUE	theta	20.689830729634938	FALSE
850	FALSE	theta	27.683605537787216	FALSE
900	TRUE	theta	21.544595838365417	FALSE
900	FALSE	theta	28.814119855392494	FALSE
950	TRUE	theta	22.22352164745316	FALSE
950	FALSE	theta	30.095989243418003	FALSE
1000	TRUE	theta	23.066418850958595	FALSE
1000	FALSE	theta	31.367726367832397	FALSE
0	TRUE	theta	0	FALSE
0	FALSE	theta	0	FALSE
50	TRUE	theta	4.096076519820768	TRUE
50	FALSE	theta	4.829155252582136	FALSE
100	TRUE	theta	5.7707801635558535	TRUE
100	FALSE	theta	7.117339969270795	FALSE
150	TRUE	theta	7.766686681995148	TRUE
150	FALSE	theta	9.641668729745335	FALSE
200	TRUE	theta	8.820423113856181	TRUE
200	FALSE	theta	11.236948229600266	FALSE
250	TRUE	theta	9.233248261689365	TRUE
250	FALSE	theta	12.014705801954314	FALSE
300	TRUE	theta	10.04599127792245	TRUE
300	FALSE	theta	12.781110931766573	FALSE
350	TRUE	theta	11.432521184018636	TRUE
350	FALSE	theta	14.469517646779993	FALSE
400	TRUE	theta	12.590509388058893	TRUE
400	FALSE	theta	15.753088038008007	FALSE
450	TRUE	theta	13.53728151570583	TRUE
450	FALSE	theta	17.193048524484684	FALSE
500	TRUE	theta	15.205877713484329	TRUE
500	FALSE	theta	19.132719426451175	FALSE
550	TRUE	theta	15.934577403116974	TRUE
550	FALSE	theta	20.861345675642664	FALSE
600	TRUE	theta	16.835543855026316	TRUE
600	FALSE	theta	22.054183693150854	FALSE
